outT;inT;inCo;inH;winS
25;26;656;52;0
23;25;517;57;0
27;29;686;50;0
26;23;719;54;0
22;25;520;60;0
28;23;745;51;0
23;24;515;65;0
28;24;551;58;0
26;24;482;53;0
24;29;636;50;0
26;23;739;53;0
20;23;605;50;0
20;22;637;50;0
20;22;651;49;0
20;23;670;49;0
19;23;673;49;0
19;22;682;49;0
19;23;690;48;0
19;22;704;48;0
18;23;713;48;0
18;22;720;48;0
18;23;728;48;0
18;23;726;48;0
17;23;738;48;0
17;23;716;47;0
17;23;712;47;0
17;23;709;47;0
16;23;706;47;0
16;23;704;46;0
16;23;696;47;0
16;23;721;47;0
16;22;723;47;0
16;22;736;47;0
16;22;734;46;0
16;22;744;45;0
16;22;723;45;0
16;22;723;46;0
16;22;708;46;0
16;22;720;47;0
14;22;712;47;0
14;22;715;47;0
14;22;719;47;0
14;22;738;47;0
13;22;739;47;0
13;22;708;46;0
13;22;686;47;0
13;22;662;47;0
13;22;648;47;0
13;22;640;47;0
13;22;653;47;0
13;22;640;47;0
13;22;634;47;0
13;22;621;47;0
13;22;609;47;0
13;22;604;47;0
12;22;592;47;0
12;23;587;47;0
12;23;581;47;0
12;23;570;47;0
14;23;567;47;0
14;23;560;47;0
14;23;557;47;0
14;23;554;47;0
17;23;554;47;0
17;23;547;47;0
17;23;540;48;0
17;23;537;48;0
19;23;532;49;0
19;23;532;49;0
19;23;529;50;0
19;23;529;50;0
21;23;526;50;0
21;23;524;51;0
21;22;523;51;0
21;23;523;52;0
22;23;525;52;0
22;23;521;52;0
22;23;517;53;0
22;23;517;53;0
23;23;518;54;0
23;23;523;54;0
23;23;514;55;0
23;23;520;55;0
22;23;518;56;0
22;23;510;56;0
22;23;513;57;0
22;23;515;57;0
24;23;512;58;0
24;23;509;58;0
24;23;513;58;0
24;23;510;59;0
24;23;512;59;0
24;23;509;60;0
24;23;507;60;0
24;23;502;59;0
24;23;498;57;0
24;23;498;57;0
24;23;502;56;0
24;23;498;55;0
24;23;506;54;0
24;23;507;53;0
24;22;523;52;0
24;23;523;52;0
23;23;530;51;0
23;22;533;51;0
23;22;544;51;0
23;22;549;50;0
23;22;571;50;0
23;22;590;50;0
23;23;615;50;0
23;23;625;50;0
22;22;640;50;0
22;23;655;49;0
22;23;659;49;0
22;22;676;49;0
19;23;686;48;0
19;22;691;48;0
19;23;689;47;0
19;23;706;47;0
18;23;714;47;0
18;23;709;47;0
18;23;711;47;0
18;23;711;46;0
18;23;719;46;0
18;23;727;46;0
18;23;722;46;0
18;23;712;46;0
16;23;712;46;0
16;23;725;45;0
16;23;731;45;0
16;23;705;44;0
16;23;693;44;0
16;23;695;44;0
16;23;691;44;0
16;23;690;44;0
17;23;692;44;0
17;23;695;44;0
17;23;705;44;0
17;23;696;45;0
16;23;692;45;0
16;22;670;45;0
16;22;662;45;0
16;22;664;46;0
15;22;643;46;0
25;23;504;53;0
25;23;504;54;0
25;23;501;54;0
25;23;508;54;0
23;23;506;54;0
23;23;499;54;0
23;22;506;55;0
23;22;496;55;0
22;23;496;56;0
22;23;501;56;0
22;25;517;53;1
22;24;512;53;1
22;24;517;54;1
22;23;520;54;1
22;23;507;55;1
23;23;511;55;1
23;23;501;56;1
23;23;506;56;1
23;23;509;57;1
23;22;501;57;1
23;23;503;57;1
23;24;504;57;1
23;23;506;57;1
24;23;506;57;1
24;23;507;59;1
24;23;501;59;1
24;24;499;58;1
23;24;498;57;1
23;24;499;56;1
23;24;515;56;1
23;23;509;55;1
23;23;510;54;1
23;23;512;53;1
23;23;515;52;1
23;23;528;52;1
22;23;535;51;1
22;23;539;51;1
22;23;554;50;1
22;23;587;50;1
21;23;633;46;1
21;22;609;46;1
21;23;606;46;1
22;23;590;46;1
22;23;586;46;1
22;24;581;46;1
22;24;580;47;1
24;25;589;48;1
24;25;578;48;1
24;25;564;48;1
24;25;554;48;1
24;25;556;48;1
24;25;560;48;1
24;24;549;48;1
24;24;546;48;1
25;23;542;49;1
25;23;531;49;1
25;23;532;49;1
25;23;527;49;1
26;23;528;50;1
26;23;527;50;1
26;23;518;50;1
26;23;524;50;1
26;23;512;51;1
26;23;514;51;1
26;24;523;51;1
26;24;513;51;1
26;24;517;52;1
26;24;510;52;1
26;24;512;52;1
26;24;512;53;1
26;24;517;53;1
26;23;504;53;1
26;23;507;53;1
26;23;504;53;1
10;23;566;30;1
10;23;554;30;1
10;23;545;31;1
7;23;539;31;1
7;23;539;31;1
7;22;529;31;1
7;21;524;31;1
6;20;526;31;1
6;20;523;31;1
6;20;521;31;1
6;19;528;31;1
4;19;532;31;1
4;19;534;31;1
4;18;531;31;1
4;18;527;31;1
4;18;529;31;1
4;18;527;31;1
4;18;522;31;1
4;17;559;32;1
3;17;555;32;1
3;17;571;32;1
3;17;599;32;1
3;17;652;33;1
2;17;646;32;1
2;16;655;31;1
2;16;664;30;1
2;16;667;29;1
1;16;660;28;1
1;16;657;28;1
1;16;683;28;1
1;16;751;28;1
2;16;718;28;1
2;16;754;28;1
2;16;756;28;1
2;16;766;28;1
0;16;760;29;1
0;16;753;29;1
0;16;749;28;1
0;16;763;28;1
1;16;765;29;1
1;17;770;30;1
1;20;778;30;1
1;21;770;31;1
2;22;736;31;1
2;22;734;31;1
2;23;736;31;1
2;23;781;31;1
4;23;808;30;1
4;23;823;30;1
4;23;823;29;1
4;23;826;29;1
4;23;817;29;1
4;23;825;28;1
4;23;828;29;1
4;23;807;28;1
6;23;777;29;1
6;23;758;30;1
6;23;744;30;1
6;23;734;30;1
7;23;714;31;1
7;23;691;31;1
7;23;676;31;1
7;23;659;31;1
7;23;639;31;1
7;23;620;31;1
7;22;609;31;1
7;23;602;31;1
9;23;587;31;1
9;23;577;31;1
9;23;571;31;1
9;23;564;31;1
10;23;542;31;1
10;23;524;31;1
10;23;510;31;1
10;23;506;31;1
9;23;485;31;1
9;23;482;31;1
9;23;476;32;1
9;23;471;32;1
9;23;469;32;1
9;23;469;32;1
9;23;470;32;1
9;23;472;32;1
9;23;466;32;1
9;23;466;33;1
9;23;465;33;1
9;23;466;33;1
8;23;465;33;1
8;23;466;33;1
8;23;460;33;1
